County_Name,State,State_Index,NUM_POP_2014,PER_POP_Change,PER_Female,PER_White_Only,PER_Black,PER_Native_American,PER_Asian,PER_Pacific_Islander,Per_Multiracial,PER_Hispanic,PER_Color,PER_Same_Residence,PER_Foreign_Born,PER_DIFF_Age_Groups,PER_Veterans,PER_EDU_High_School,PER_EDU_College,NUM_Mean_Work_Travel_Time,PER_Homeownership,PER_Apartments,NUM_House_Value,NUM_Person_In_Households,NUM_INC_Per_Capita,NUM_INC_Median_Household,PER_Below_Poverty,PER_Not_Farm_Employment_Change,NUM_Firms_Per_Capita,PER_Firms_Color,PER_Firms_Women,PER_Merchant_Sales_Per_Capita,PER_Retail_Sales_Per_Capita,PER_Food_Sales_Per_Capita,NUM_Sales_Per_Capita,NUM_Building_Permits,NUM_Land_Area,NUM_Pop_Per_Area,PER_Voters,PER_Vote_Diff,Win_Strength,Party_Winner
Elmore County,AL,7,80977,2.1,51.5,73.7,21.2,0.4,0.7,0.1,1.6,2.7,26.7,85.4,3.6,9.0,10.328858811761364,86.6,21.0,28.2,75.5,8.1,144600,2.62,23856,54766,13.4,-2.3,0.08043024562530102,9.1,28.3,1.2952443286365265,7.6356619780925445,0.5913284018918953,9.522234708620967,259,618.49,128.2,45.57466935055633,-51.9794065844,-2,-1
Escambia County,AL,7,37733,-1.5,48.8,60.6,32.4,3.4,0.3,0.1,1.7,2.1,40.0,93.4,1.4,5.300000000000001,7.937349269869875,76.2,11.7,23.5,72.5,9.0,84100,2.59,16540,30687,25.4,1.0,0.07327803249145311,12.2,21.3,2.4679988339119605,10.05981501603371,0.8456523467521798,13.373466196697851,26,945.08,40.5,40.31749397079479,-36.705449286800004,-1,-1
Etowah County,AL,7,103531,-0.9,51.6,78.4,15.5,0.5,0.8,0.3,1.6,3.7,22.400000000000002,85.0,3.1,4.800000000000001,8.343394732012634,81.8,14.8,23.9,72.4,12.1,100000,2.55,20204,38013,19.0,-0.5,0.08835034917077976,6.699999999999999,25.7,5.007427726961007,10.768185374428915,1.3326056929808463,17.108218794370767,79,534.99,195.2,41.991287633655624,-50.103510144000005,-2,-1
Fayette County,AL,7,16874,-2.1,50.5,85.0,11.9,0.4,0.3,0.0,1.1,1.4,15.100000000000001,87.8,0.8,2.099999999999998,7.235984354628423,74.9,13.2,27.5,74.9,8.7,71400,2.41,18494,33838,19.9,-3.8,0.08166409861325115,5.1,24.3,1.3312196278297974,7.725613369681167,0.6441270593812967,9.70096005689226,0,627.66,27.5,48.57176721583501,-65.2391410444,-2,-1
Franklin County,AL,7,31601,-0.3,50.3,78.0,4.6,1.5,0.4,0.2,1.5,16.1,24.3,86.4,13.2,8.4,5.88588968703522,72.5,11.0,26.2,69.5,12.0,82300,2.52,18888,36415,21.9,-8.0,0.07458624727065599,0.0,23.2,2.132780608208601,8.51542672700231,0.8034239422803076,11.451631277491218,13,633.82,50.0,37.83108129489573,-60.80301129230001,-2,-1
Geneva County,AL,7,26712,-0.3,50.8,84.1,9.7,1.0,0.4,0.1,1.7,3.6,16.5,82.7,3.0,3.0,8.74513327343516,77.2,10.4,25.6,72.1,5.6,78100,2.43,20199,35625,21.2,2.8,0.0649895178197065,0.0,0.0,8.673517520215633,6.365828092243187,0.38941299790356393,15.428758610362385,8,574.41,46.6,43.64705001497454,-72.4333133202,-2,-1
Greene County,AL,7,8553,-5.4,52.5,17.9,80.5,0.2,0.2,0.0,0.6,1.0,82.5,92.4,1.4,5.400000000000002,5.869285630772828,76.2,12.8,28.0,73.2,8.9,72700,2.72,14930,24226,32.9,16.3,0.07681515257804279,60.3,36.1,0.0,3.9330059628200633,0.1433415175961651,4.076347480416228,4,647.11,14.0,56.84555126856073,65.15837104070002,2,1
Hale County,AL,7,15184,-3.7,52.8,40.0,58.1,0.2,0.3,0.0,0.6,1.3,60.5,90.6,2.7,6.0,6.552950474183351,77.4,12.8,27.1,78.0,6.1,79900,2.56,18812,30051,26.6,0.2,0.05808746048472076,0.0,0.0,0.0,5.712262908324552,0.2065331928345627,5.918796101159115,8,643.94,24.5,52.75289778714436,19.975031211,0,1
Henry County,AL,7,17190,-0.6,51.8,68.4,27.3,0.3,0.7,0.0,1.2,2.6,32.1,91.9,5.0,0.3999999999999986,8.708551483420594,80.1,16.6,26.0,77.7,4.6,97000,2.44,21924,41650,14.4,-2.4,0.06346713205351949,0.0,18.2,0.0,5.385340314136125,0.43135543920884234,5.816695753344968,17,561.75,30.8,46.63757998836533,-41.6240488961,-1,-1
Houston County,AL,7,104193,2.6,52.1,67.3,26.7,0.5,0.9,0.1,1.8,3.3,33.3,86.3,4.4,7.599999999999998,8.881594732851536,83.9,19.7,20.8,64.6,14.6,122300,2.58,23316,40948,18.0,0.5,0.09742497096733946,14.8,25.5,0.0,18.32767076483065,1.7009204073210293,20.02859117215168,311,579.82,175.1,40.338602401312954,-47.63264335,-1,-1
